model,reference_model,loc_id,sec_condition,pixel_agreement_masked,metric_type,reference_input_source,model_input_source,adapter_input_norm,conf_threshold,coverage_masked,coverage_ref_masked,clean_path,sec_path
SegFormer-B5,SegFormer-B5,112170,Day-RAIN,0.9563582209819244,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9654345512390137,0.9654345512390137,/home/ace/Downloads/Dataset/Day/112170_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/112170_Day_RAIN.png
SegFormer-B5,SegFormer-B5,1124819,Day-FOGGY,0.9273456337202071,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9629062414169312,0.9629062414169312,/home/ace/Downloads/Dataset/Day/1124819_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/1124819_Day_FOGGY.png
Mask2Former-Swin-S,SegFormer-B5,112170,Day-RAIN,0.8609678344536228,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9654345512390137,0.9654345512390137,/home/ace/Downloads/Dataset/Day/112170_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/112170_Day_RAIN.png
Mask2Former-Swin-S,SegFormer-B5,1124819,Day-FOGGY,0.8872379587398056,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9629062414169312,0.9629062414169312,/home/ace/Downloads/Dataset/Day/1124819_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/1124819_Day_FOGGY.png
Mask2Former-Swin-L,SegFormer-B5,112170,Day-RAIN,0.8689130499111128,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9654345512390137,0.9654345512390137,/home/ace/Downloads/Dataset/Day/112170_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/112170_Day_RAIN.png
Mask2Former-Swin-L,SegFormer-B5,1124819,Day-FOGGY,0.8958111054943224,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9629062414169312,0.9629062414169312,/home/ace/Downloads/Dataset/Day/1124819_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/1124819_Day_FOGGY.png
DeepLabV3+-R101,SegFormer-B5,112170,Day-RAIN,0.8636924936436,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9654345512390137,0.9654345512390137,/home/ace/Downloads/Dataset/Day/112170_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/112170_Day_RAIN.png
DeepLabV3+-R101,SegFormer-B5,1124819,Day-FOGGY,0.7889594347405862,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9629062414169312,0.9629062414169312,/home/ace/Downloads/Dataset/Day/1124819_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/1124819_Day_FOGGY.png
PIDNet-M,SegFormer-B5,112170,Day-RAIN,0.7214906640019485,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9654345512390137,0.9654345512390137,/home/ace/Downloads/Dataset/Day/112170_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/112170_Day_RAIN.png
PIDNet-M,SegFormer-B5,1124819,Day-FOGGY,0.7401896065572648,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9629062414169312,0.9629062414169312,/home/ace/Downloads/Dataset/Day/1124819_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/1124819_Day_FOGGY.png
DDRNet-23,SegFormer-B5,112170,Day-RAIN,0.5465314656026004,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9654345512390137,0.9654345512390137,/home/ace/Downloads/Dataset/Day/112170_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/112170_Day_RAIN.png
DDRNet-23,SegFormer-B5,1124819,Day-FOGGY,0.6290553563053651,reference_clean_vs_model_adverse,raw,repo,none,0.6,0.9629062414169312,0.9629062414169312,/home/ace/Downloads/Dataset/Day/1124819_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Day/1124819_Day_FOGGY.png
SegFormer-B0,SegFormer-B5,11281105,Night-FOGGY,0.8663128832397062,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9808114171028137,0.9808114171028137,/home/ace/Downloads/Dataset/Day/11281105_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11281105_Night_FOGGY.png
SegFormer-B0,SegFormer-B5,1129575,Sunset-EXTRASUNNY,0.9332853994971484,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.968872606754303,0.968872606754303,/home/ace/Downloads/Dataset/Day/1129575_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1129575_Sunset_EXTRASUNNY.png
SegFormer-B2,SegFormer-B5,11281105,Night-FOGGY,0.8411027333074549,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9808114171028137,0.9808114171028137,/home/ace/Downloads/Dataset/Day/11281105_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11281105_Night_FOGGY.png
SegFormer-B2,SegFormer-B5,1129575,Sunset-EXTRASUNNY,0.9409325096878894,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.968872606754303,0.968872606754303,/home/ace/Downloads/Dataset/Day/1129575_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1129575_Sunset_EXTRASUNNY.png
SegFormer-B5,SegFormer-B5,11281105,Night-FOGGY,0.9142949005558254,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.9808114171028137,0.9808114171028137,/home/ace/Downloads/Dataset/Day/11281105_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Night/11281105_Night_FOGGY.png
SegFormer-B5,SegFormer-B5,1129575,Sunset-EXTRASUNNY,0.9802029098257937,reference_clean_vs_model_adverse,raw,raw,processor,0.6,0.968872606754303,0.968872606754303,/home/ace/Downloads/Dataset/Day/1129575_Day_EXTRASUNNY.png,/home/ace/Downloads/Dataset/Sunset/1129575_Sunset_EXTRASUNNY.png
