model,reference_model,sec_condition,class_id,class_name,retention_masked,mass_clean_masked,mass_reference_masked,metric_type,conf_threshold
SegFormer-B0,SegFormer-B5,Night-RAIN,15,bus,0.0,1204.0,1204.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,16,train,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,17,motorcycle,0.0,7.0,7.0,reference_clean_vs_model_adverse,0.6
SegFormer-B0,SegFormer-B5,Night-RAIN,18,bicycle,0.4993077988001846,2167.0,2167.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,0,road,0.9696376865889946,4871335.0,4871335.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,1,sidewalk,0.34340713830864467,478965.0,478965.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,2,building,0.8661261392926421,1505320.0,1505320.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,3,wall,0.3068107949742272,327671.0,327671.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,4,fence,0.32089377358048415,256038.0,256038.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,5,pole,0.6280007055295882,113390.0,113390.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,6,traffic light,0.727540500736377,2716.0,2716.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,7,traffic sign,0.27973957964758334,14131.0,14131.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,8,vegetation,0.8615552696568151,2850271.0,2850271.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,9,terrain,0.4640870978311303,454753.0,454753.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,10,sky,0.9165073186917774,4713479.0,4713479.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,11,person,0.744853758577069,26087.0,26087.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,12,rider,0.7039181770324133,13297.0,13297.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,13,car,0.9338234062159672,238740.0,238740.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,14,truck,0.743037309511298,66605.0,66605.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,15,bus,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,16,train,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,17,motorcycle,0.0,131.0,131.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Sunset-FOGGY,18,bicycle,0.683081410766375,37710.0,37710.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,0,road,0.9712213770119903,7257366.0,7257366.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,1,sidewalk,0.5234774779740742,544245.0,544245.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,2,building,0.8668637956644529,3615230.0,3615230.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,3,wall,0.38419727860462416,620564.0,620564.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,4,fence,0.5944662902466895,238032.0,238032.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,5,pole,0.5060509652271712,259628.0,259628.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,6,traffic light,0.051392819901683304,6713.0,6713.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,7,traffic sign,0.0004022202558120827,24862.0,24862.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,8,vegetation,0.7991306232769683,2518816.0,2518816.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,9,terrain,0.29218573046432617,253421.0,253421.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,10,sky,0.3970997438278673,5768387.0,5768387.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,11,person,0.7273307281282398,12539.0,12539.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,12,rider,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,13,car,0.5189462455359214,150927.0,150927.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,14,truck,0.0,9061.0,9061.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,15,bus,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,16,train,0.0,0.0,0.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,17,motorcycle,0.0,243.0,243.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Night-EXTRASUNNY,18,bicycle,0.0,5.0,5.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Day-FOGGY,0,road,0.9790664518222953,12919119.0,12919119.0,reference_clean_vs_model_adverse,0.6
SegFormer-B2,SegFormer-B5,Day-FOGGY,1,sidewalk,0.44869241049825,1491982.0,1491982.0,reference_clean_vs_model_adverse,0.6
